time_stamp,components,perf_level,component_state
60,W_PMA477,100,Functional
60,W_PMA476,100,Functional
60,W_PMA879,100,Functional
60,W_PMA1034,100,Functional
60,T_L158,100,Functional
60,T_L83,100,Functional
60,T_L39,100,Functional
6060,W_PMA1034,50,Service Disrupted
6060,W_PMA477,50,Service Disrupted
6060,W_PMA476,50,Service Disrupted
6060,T_L83,50,Service Disrupted
6060,T_L158,50,Service Disrupted
6060,T_L39,50,Service Disrupted
6060,W_PMA879,50,Service Disrupted
7380,T_L158,50,Service Disrupted
7380,W_PMA879,50,Service Disrupted
7380,W_PMA1034,50,Service Disrupted
7380,T_L83,50,Service Disrupted
7380,W_PMA477,50,Service Disrupted
7380,W_PMA476,50,Service Disrupted
7380,T_L39,50,Repairing
7500,T_L39,50,Repairing
7500,T_L83,50,Service Disrupted
7500,T_L158,50,Service Disrupted
7500,W_PMA879,50,Service Disrupted
7500,W_PMA476,50,Service Disrupted
7500,W_PMA477,50,Service Disrupted
7500,W_PMA1034,50,Repairing
25380,W_PMA476,50,Service Disrupted
25380,W_PMA477,50,Service Disrupted
25380,T_L158,50,Service Disrupted
25380,W_PMA879,50,Service Disrupted
25380,T_L39,50,Repairing
25380,T_L83,50,Service Disrupted
25380,W_PMA1034,50,Repairing
25500,T_L158,50,Service Disrupted
25500,W_PMA476,50,Service Disrupted
25500,W_PMA477,50,Service Disrupted
25500,W_PMA1034,100,Service Restored
25500,T_L83,50,Service Disrupted
25500,T_L39,50,Repairing
25500,W_PMA879,50,Service Disrupted
25620,W_PMA1034,100,Service Restored
25620,W_PMA477,50,Service Disrupted
25620,W_PMA476,50,Service Disrupted
25620,W_PMA879,50,Service Disrupted
25620,T_L158,50,Service Disrupted
25620,T_L83,50,Service Disrupted
25620,T_L39,50,Repairing
25740,W_PMA879,50,Service Disrupted
25740,W_PMA1034,100,Service Restored
25740,T_L39,50,Repairing
25740,T_L158,50,Service Disrupted
25740,W_PMA477,50,Service Disrupted
25740,W_PMA476,50,Service Disrupted
25740,T_L83,50,Service Disrupted
26460,T_L83,50,Service Disrupted
26460,W_PMA477,50,Repairing
26460,W_PMA1034,100,Service Restored
26460,W_PMA879,50,Service Disrupted
26460,W_PMA476,50,Service Disrupted
26460,T_L158,50,Service Disrupted
26460,T_L39,50,Repairing
40740,W_PMA477,50,Repairing
40740,W_PMA476,50,Service Disrupted
40740,W_PMA879,50,Service Disrupted
40740,T_L39,50,Repairing
40740,W_PMA1034,100,Service Restored
40740,T_L158,50,Service Disrupted
40740,T_L83,50,Service Disrupted
40860,W_PMA879,50,Service Disrupted
40860,W_PMA1034,100,Service Restored
40860,W_PMA476,50,Service Disrupted
40860,W_PMA477,100,Service Restored
40860,T_L158,50,Service Disrupted
40860,T_L83,50,Service Disrupted
40860,T_L39,50,Repairing
40980,T_L39,50,Repairing
40980,T_L83,50,Service Disrupted
40980,T_L158,50,Service Disrupted
40980,W_PMA477,100,Service Restored
40980,W_PMA879,50,Service Disrupted
40980,W_PMA476,50,Service Disrupted
40980,W_PMA1034,100,Service Restored
41100,T_L83,50,Service Disrupted
41100,T_L158,50,Service Disrupted
41100,T_L39,50,Repairing
41100,W_PMA879,50,Service Disrupted
41100,W_PMA477,100,Service Restored
41100,W_PMA1034,100,Service Restored
41100,W_PMA476,50,Service Disrupted
41460,W_PMA476,50,Repairing
41460,W_PMA477,100,Service Restored
41460,W_PMA879,50,Service Disrupted
41460,W_PMA1034,100,Service Restored
41460,T_L158,50,Service Disrupted
41460,T_L83,50,Service Disrupted
41460,T_L39,50,Repairing
53880,W_PMA476,50,Repairing
53880,T_L39,50,Repairing
53880,T_L83,50,Service Disrupted
53880,T_L158,50,Service Disrupted
53880,W_PMA1034,100,Service Restored
53880,W_PMA477,100,Service Restored
53880,W_PMA879,50,Service Disrupted
55740,W_PMA476,50,Repairing
55740,T_L39,50,Repairing
55740,T_L83,50,Service Disrupted
55740,T_L158,50,Service Disrupted
55740,W_PMA1034,100,Service Restored
55740,W_PMA879,50,Service Disrupted
55740,W_PMA477,100,Service Restored
55860,W_PMA1034,100,Service Restored
55860,W_PMA879,50,Service Disrupted
55860,W_PMA477,100,Service Restored
55860,T_L158,50,Service Disrupted
55860,T_L39,50,Repairing
55860,T_L83,50,Service Disrupted
55860,W_PMA476,100,Service Restored
55980,T_L83,50,Service Disrupted
55980,T_L158,50,Service Disrupted
55980,W_PMA1034,100,Service Restored
55980,W_PMA879,50,Service Disrupted
55980,W_PMA477,100,Service Restored
55980,W_PMA476,100,Service Restored
55980,T_L39,50,Repairing
56100,W_PMA879,50,Service Disrupted
56100,W_PMA1034,100,Service Restored
56100,T_L158,50,Service Disrupted
56100,T_L39,50,Repairing
56100,W_PMA477,100,Service Restored
56100,T_L83,50,Service Disrupted
56100,W_PMA476,100,Service Restored
56700,T_L83,50,Service Disrupted
56700,T_L158,50,Service Disrupted
56700,W_PMA1034,100,Service Restored
56700,W_PMA476,100,Service Restored
56700,W_PMA879,50,Repairing
56700,W_PMA477,100,Service Restored
56700,T_L39,50,Repairing
70980,W_PMA476,100,Service Restored
70980,W_PMA1034,100,Service Restored
70980,T_L158,50,Service Disrupted
70980,T_L39,50,Repairing
70980,W_PMA879,50,Repairing
70980,T_L83,50,Service Disrupted
70980,W_PMA477,100,Service Restored
71100,W_PMA477,100,Service Restored
71100,W_PMA476,100,Service Restored
71100,W_PMA1034,100,Service Restored
71100,T_L158,50,Service Disrupted
71100,T_L83,50,Service Disrupted
71100,T_L39,50,Repairing
71100,W_PMA879,100,Service Restored
71220,W_PMA477,100,Service Restored
71220,T_L39,50,Repairing
71220,T_L83,50,Service Disrupted
71220,W_PMA879,100,Service Restored
